"region";"labeller";"group";"p.whole";"signif.whole";"is.signif.whole";"delta.estimate.whole";"volume.difference.whole";"p.etiv";"signif.etiv";"is.signif.etiv";"delta.estimate.etiv";"volume.difference.etiv"
"AV";"Anteroventral lh";"anterior";"0.0016";"(**)";TRUE;5,92602846292885;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;13,9451636799061;"relative nucleus volume is lower in AN"
"AV";"Anteroventral rh";"anterior";"0.0016";"(**)";TRUE;5,51787584428578;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;11,6654725831654;"relative nucleus volume is lower in AN"
"LD";"Laterodorsal lh";"lateral";"0.0000";"(***)";TRUE;5,43724184446588;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;8,19436763077937;"relative nucleus volume is lower in AN"
"LD";"Laterodorsal rh";"lateral";"0.0000";"(***)";TRUE;5,93878901751896;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;8,24680870923533;"relative nucleus volume is lower in AN"
"LP";"Lateral posterior lh";"lateral";"0.0833";"(ns)";FALSE;3,77700246431257;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;11,7839013404543;"relative nucleus volume is lower in AN"
"LP";"Lateral posterior rh";"lateral";"0.0000";"(***)";TRUE;7,90764571302846;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;13,8426259806566;"relative nucleus volume is lower in AN"
"VA";"Ventral anterior lh";"ventral";"0.3132";"(ns)";FALSE;3,89272041961141;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;28,8426865823378;"relative nucleus volume is lower in AN"
"VA";"Ventral anterior rh";"ventral";"0.0416";"(*)";TRUE;6,98601972753823;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;24,7369979125552;"relative nucleus volume is lower in AN"
"VAmc";"Ventral anterior magnocellular lh";"ventral";"0.0127";"(*)";TRUE;0,648327448282863;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;2,85309771816299;"relative nucleus volume is lower in AN"
"VAmc";"Ventral anterior magnocellular rh";"ventral";"0.0000";"(***)";TRUE;1,05228802054226;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;2,69155591838662;"relative nucleus volume is lower in AN"
"VLa";"Ventral lateral anterior lh";"ventral";"0.2589";"(ns)";FALSE;-4,39067347893092;"relative nucleus volume is higher in AN";"0.0000";"(***)";TRUE;37,5558113248635;"relative nucleus volume is lower in AN"
"VLa";"Ventral lateral anterior rh";"ventral";"0.0408";"(*)";TRUE;-7,02280764348291;"relative nucleus volume is higher in AN";"0.0000";"(***)";TRUE;27,6094518340599;"relative nucleus volume is lower in AN"
"VLp";"Ventral lateral posterior lh";"ventral";"0.0060";"(**)";TRUE;-12,3182195279899;"relative nucleus volume is higher in AN";"0.0000";"(***)";TRUE;47,3450123204083;"relative nucleus volume is lower in AN"
"VLp";"Ventral lateral posterior rh";"ventral";"0.0000";"(***)";TRUE;-16,7868049234961;"relative nucleus volume is higher in AN";"0.0000";"(***)";TRUE;33,1600749855697;"relative nucleus volume is lower in AN"
"VPL";"Ventral posterolateral lh";"ventral";"0.0000";"(***)";TRUE;-32,2714602776937;"relative nucleus volume is higher in AN";"0.0000";"(***)";TRUE;48,8609726640569;"relative nucleus volume is lower in AN"
"VPL";"Ventral posterolateral rh";"ventral";"0.0000";"(***)";TRUE;-43,5677482297225;"relative nucleus volume is higher in AN";"0.0074";"(**)";TRUE;34,5149007985576;"relative nucleus volume is lower in AN"
"VM";"Ventromedial lh";"ventral";"0.0000";"(***)";TRUE;-1,90788270114349;"relative nucleus volume is higher in AN";"0.0765";"(ns)";FALSE;0,85717191987402;"relative nucleus volume is lower in AN"
"VM";"Ventromedial rh";"ventral";"0.0000";"(***)";TRUE;-2,00228896528016;"relative nucleus volume is higher in AN";"0.2170";"(ns)";FALSE;0,62824543368826;"relative nucleus volume is lower in AN"
"CeM";"Central medial lh";"intralaminar";"0.0000";"(***)";TRUE;3,19474223241373;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;8,41031545961251;"relative nucleus volume is lower in AN"
"CeM";"Central medial rh";"intralaminar";"0.0000";"(***)";TRUE;4,12008275045541;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;7,76517062546152;"relative nucleus volume is lower in AN"
"CL";"Central lateral lh";"intralaminar";"0.5835";"(ns)";FALSE;0,356706158435841;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;2,57904883179589;"relative nucleus volume is lower in AN"
"CL";"Central lateral rh";"intralaminar";"0.0288";"(*)";TRUE;1,40831016024467;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;3,17102003606731;"relative nucleus volume is lower in AN"
"Pc";"Paracentral lh";"intralaminar";"0.0819";"(ns)";FALSE;0,082671054785024;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;0,3986924712313;"relative nucleus volume is lower in AN"
"Pc";"Paracentral rh";"intralaminar";"0.0045";"(**)";TRUE;0,16026925017347;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;0,425510452821379;"relative nucleus volume is lower in AN"
"CM";"Centromedian lh";"intralaminar";"0.0031";"(**)";TRUE;-5,76238452227676;"relative nucleus volume is higher in AN";"0.0000";"(***)";TRUE;13,4456063996166;"relative nucleus volume is lower in AN"
"CM";"Centromedian rh";"intralaminar";"0.0780";"(ns)";FALSE;-3,38237532240859;"relative nucleus volume is higher in AN";"0.0000";"(***)";TRUE;12,6125491558285;"relative nucleus volume is lower in AN"
"Pf";"Parafascicular lh";"intralaminar";"0.0000";"(***)";TRUE;-3,00063675591672;"relative nucleus volume is higher in AN";"0.0953";"(ns)";FALSE;1,34412003123514;"relative nucleus volume is lower in AN"
"Pf";"Parafascicular rh";"intralaminar";"0.0000";"(***)";TRUE;-2,68050018515702;"relative nucleus volume is higher in AN";"0.1667";"(ns)";FALSE;1,06622767016247;"relative nucleus volume is lower in AN"
"Pt";"Paratenial lh";"medial";"0.3750";"(ns)";FALSE;0,0521563391282696;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;0,578862467001832;"relative nucleus volume is lower in AN"
"Pt";"Paratenial rh";"medial";"0.0494";"(*)";TRUE;0,0934868622841556;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;0,597792639866016;"relative nucleus volume is lower in AN"
"MV(Re)";"Reuniens (medial ventral) lh";"medial";"0.0000";"(***)";TRUE;1,07334814704908;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;2,24969713414231;"relative nucleus volume is lower in AN"
"MV(Re)";"Reuniens (medial ventral) rh";"medial";"0.0000";"(***)";TRUE;1,70043541559459;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;2,46059460994332;"relative nucleus volume is lower in AN"
"MDm";"Mediodorsal medial magnocellular lh";"medial";"0.0000";"(***)";TRUE;29,3137655369252;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;83,3113750219311;"relative nucleus volume is lower in AN"
"MDm";"Mediodorsal medial magnocellular rh";"medial";"0.0000";"(***)";TRUE;33,9308536262312;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;78,1932927842824;"relative nucleus volume is lower in AN"
"MDl";"Mediodorsal lateral parvocellular lh";"medial";"0.0000";"(***)";TRUE;13,2951929617396;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;31,3341127245964;"relative nucleus volume is lower in AN"
"MDl";"Mediodorsal lateral parvocellular rh";"medial";"0.0000";"(***)";TRUE;14,4094739092116;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;29,6626123597705;"relative nucleus volume is lower in AN"
"LGN";"Lateral geniculate lh";"posterior";"0.0347";"(*)";TRUE;6,90074952570461;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;25,0717705751202;"relative nucleus volume is lower in AN"
"LGN";"Lateral geniculate rh";"posterior";"0.0101";"(*)";TRUE;8,26294875993398;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;22,5915059857448;"relative nucleus volume is lower in AN"
"MGN";"Medial Geniculate lh";"posterior";"0.5684";"(ns)";FALSE;0,867487920754598;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;7,12504929487827;"relative nucleus volume is lower in AN"
"MGN";"Medial Geniculate rh";"posterior";"0.0000";"(***)";TRUE;6,8920385349648;"relative nucleus volume is lower in AN";"0.0000";"(***)";TRUE;12,1743195078306;"relative nucleus volume is lower in AN"
"L-Sg";"Limitans (suprageniculate) lh";"posterior";"0.0462";"(*)";TRUE;-1,22807916948984;"relative nucleus volume is higher in AN";"0.7212";"(ns)";FALSE;-0,194016743960706;"relative nucleus volume is higher in AN"
"L-Sg";"Limitans (suprageniculate) rh";"posterior";"0.5362";"(ns)";FALSE;-0,28014561164272;"relative nucleus volume is higher in AN";"0.0324";"(*)";TRUE;0,927863995794265;"relative nucleus volume is lower in AN"
"PuA";"Pulvinar anterior lh";"posterior";"0.5750";"(ns)";FALSE;-0,975381127108307;"relative nucleus volume is higher in AN";"0.0000";"(***)";TRUE;16,7430456407828;"relative nucleus volume is lower in AN"
"PuA";"Pulvinar anterior rh";"posterior";"0.0153";"(*)";TRUE;-3,8509118156573;"relative nucleus volume is higher in AN";"0.0000";"(***)";TRUE;11,5092801654871;"relative nucleus volume is lower in AN"
"PuM";"Pulvinar medial lh";"posterior";"0.7212";"(ns)";FALSE;-2,99527238622773;"relative nucleus volume is higher in AN";"0.0000";"(***)";TRUE;82,141143267067;"relative nucleus volume is lower in AN"
