"region";"group";"LH_is.signif.etiv";"LH_volume.difference.etiv";"LH_is.signif.whole";"LH_volume.difference.whole";"nucleus";"LH_p.etiv";"LH_signi.etiv";"LH_p.whole";"LH_signi.whole";"RH_is.signif.etiv";"RH_volume.difference.etiv";"RH_is.signif.whole";"RH_volume.difference.whole";"RH_p.etiv";"RH_signi.etiv";"RH_p.whole";"RH_signi.whole"
"AV";"anterior";TRUE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is lower in AN";"Anteroventral";"0.0000";"(***)";"0.0016";"(**)";TRUE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is lower in AN";"0.0000";"(***)";"0.0031";"(**)"
"LD";"lateral";TRUE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is lower in AN";"Laterodorsal";"0.0000";"(***)";"0.0000";"(***)";TRUE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is lower in AN";"0.0000";"(***)";"0.0000";"(***)"
"LP";"lateral";TRUE;"relative nucleus volume is lower in AN";FALSE;"relative nucleus volume is lower in AN";"Lateral posterior";"0.0000";"(***)";"0.2157";"(ns)";TRUE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is lower in AN";"0.0000";"(***)";"0.0000";"(***)"
"VA";"ventral";TRUE;"relative nucleus volume is lower in AN";FALSE;"relative nucleus volume is lower in AN";"Ventral anterior";"0.0000";"(***)";"0.3121";"(ns)";TRUE;"relative nucleus volume is lower in AN";FALSE;"relative nucleus volume is lower in AN";"0.0000";"(***)";"0.0902";"(ns)"
"VAmc";"ventral";TRUE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is lower in AN";"Ventral anterior magnocellular";"0.0000";"(***)";"0.0413";"(*)";TRUE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is lower in AN";"0.0000";"(***)";"0.0000";"(***)"
"VLa";"ventral";TRUE;"relative nucleus volume is lower in AN";FALSE;"relative nucleus volume is higher in AN";"Ventral lateral anterior";"0.0000";"(***)";"0.2600";"(ns)";TRUE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is higher in AN";"0.0000";"(***)";"0.0306";"(*)"
"VLp";"ventral";TRUE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is higher in AN";"Ventral lateral posterior";"0.0000";"(***)";"0.0031";"(**)";TRUE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is higher in AN";"0.0000";"(***)";"0.0000";"(***)"
"VPL";"ventral";TRUE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is higher in AN";"Ventral posterolateral";"0.0000";"(***)";"0.0000";"(***)";TRUE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is higher in AN";"0.0045";"(**)";"0.0000";"(***)"
"VM";"ventral";FALSE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is higher in AN";"Ventromedial";"0.0700";"(ns)";"0.0000";"(***)";FALSE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is higher in AN";"0.1655";"(ns)";"0.0000";"(***)"
"CeM";"intralaminar";TRUE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is lower in AN";"Central medial";"0.0000";"(***)";"0.0016";"(**)";TRUE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is lower in AN";"0.0000";"(***)";"0.0000";"(***)"
"CL";"intralaminar";TRUE;"relative nucleus volume is lower in AN";FALSE;"relative nucleus volume is lower in AN";"Central lateral";"0.0000";"(***)";"0.8742";"(ns)";TRUE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is lower in AN";"0.0000";"(***)";"0.0338";"(*)"
"Pc";"intralaminar";TRUE;"relative nucleus volume is lower in AN";FALSE;"relative nucleus volume is lower in AN";"Paracentral";"0.0000";"(***)";"0.1036";"(ns)";TRUE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is lower in AN";"0.0000";"(***)";"0.0087";"(**)"
"CM";"intralaminar";TRUE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is higher in AN";"Centromedian";"0.0000";"(***)";"0.0045";"(**)";TRUE;"relative nucleus volume is lower in AN";FALSE;"relative nucleus volume is higher in AN";"0.0000";"(***)";"0.1659";"(ns)"
"Pf";"intralaminar";FALSE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is higher in AN";"Parafascicular";"0.1453";"(ns)";"0.0000";"(***)";FALSE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is higher in AN";"0.0802";"(ns)";"0.0000";"(***)"
"Pt";"medial";TRUE;"relative nucleus volume is lower in AN";FALSE;"relative nucleus volume is lower in AN";"Paratenial";"0.0000";"(***)";"0.3817";"(ns)";TRUE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is lower in AN";"0.0000";"(***)";"0.0338";"(*)"
"MV(Re)";"medial";TRUE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is lower in AN";"Reuniens (medial ventral)";"0.0000";"(***)";"0.0000";"(***)";TRUE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is lower in AN";"0.0000";"(***)";"0.0000";"(***)"
"MDm";"medial";TRUE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is lower in AN";"Mediodorsal medial magnocellular";"0.0000";"(***)";"0.0000";"(***)";TRUE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is lower in AN";"0.0000";"(***)";"0.0000";"(***)"
"MDl";"medial";TRUE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is lower in AN";"Mediodorsal lateral parvocellular";"0.0000";"(***)";"0.0000";"(***)";TRUE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is lower in AN";"0.0000";"(***)";"0.0000";"(***)"
"LGN";"posterior";TRUE;"relative nucleus volume is lower in AN";FALSE;"relative nucleus volume is lower in AN";"Lateral geniculate";"0.0000";"(***)";"0.0539";"(ns)";TRUE;"relative nucleus volume is lower in AN";TRUE;"relative nucleus volume is lower in AN";"0.0000";"(***)";"0.0171";"(*)"
