"hemi_region";"labeller";"t.value";"p.value";"unadj.signif";"p.adj";"adj.signif";"t.value1";"p.value1";"unadj.signif1";"p.adj1";"adj.signif1";"t.value2";"p.value2";"unadj.signif2";"p.adj2";"adj.signif2";"t.value3";"p.value3";"unadj.signif3";"p.adj3";"adj.signif3";"t.value4";"p.value4";"unadj.signif4";"p.adj4";"adj.signif4";"t.value5";"p.value5";"unadj.signif5";"p.adj5";"adj.signif5";"t.value6";"p.value6";"unadj.signif6";"p.adj6";"adj.signif6";"t.value7";"p.value7";"unadj.signif7";"p.adj7";"adj.signif7";"variables_group";"nuclei_group"
"lh_Whole_thalamus";"Whole Thalamus lh";"4.278";"0.000";"(***)";"0.003";"(**)";"2.893";"0.005";"(**)";"0.055";"(ns)";"-0.859";"0.400";"(ns)";"0.930";"(ns)";"0.101";"0.919";"(ns)";"0.984";"(ns)";"0.430";"0.668";"(ns)";"0.977";"(ns)";"0.158";"0.875";"(ns)";"0.984";"(ns)";"-0.276";"0.783";"(ns)";"0.983";"(ns)";"-0.369";"0.712";"(ns)";"0.977";"(ns)";"Whole Thalamus";"Whole Thalamus"
"rh_Whole_thalamus";"Whole Thalamus rh";"3.210";"0.002";"(**)";"0.030";"(*)";"2.457";"0.016";"(*)";"0.134";"(ns)";"-0.443";"0.662";"(ns)";"0.977";"(ns)";"1.435";"0.152";"(ns)";"0.668";"(ns)";"0.371";"0.710";"(ns)";"0.977";"(ns)";"0.522";"0.603";"(ns)";"0.977";"(ns)";"0.943";"0.350";"(ns)";"0.862";"(ns)";"1.173";"0.241";"(ns)";"0.812";"(ns)";"Whole Thalamus";"Whole Thalamus"
"lh_AV";"Anteroventral lh";"2.298";"0.025";"(*)";"0.170";"(ns)";"1.692";"0.087";"(ns)";"0.473";"(ns)";"-0.455";"0.656";"(ns)";"0.977";"(ns)";"0.682";"0.497";"(ns)";"0.977";"(ns)";"-0.595";"0.554";"(ns)";"0.977";"(ns)";"-0.435";"0.666";"(ns)";"0.977";"(ns)";"-0.895";"0.373";"(ns)";"0.896";"(ns)";"0.392";"0.696";"(ns)";"0.977";"(ns)";"Thalamus nuclei";"anterior"
"rh_AV";"Anteroventral rh";"0.995";"0.321";"(ns)";"0.858";"(ns)";"0.803";"0.421";"(ns)";"0.947";"(ns)";"0.322";"0.745";"(ns)";"0.977";"(ns)";"0.452";"0.653";"(ns)";"0.977";"(ns)";"-0.551";"0.582";"(ns)";"0.977";"(ns)";"0.398";"0.691";"(ns)";"0.977";"(ns)";"-0.521";"0.604";"(ns)";"0.977";"(ns)";"-0.102";"0.918";"(ns)";"0.984";"(ns)";"Thalamus nuclei";"anterior"
"lh_LD";"Laterodorsal lh";"2.551";"0.012";"(*)";"0.112";"(ns)";"3.466";"0.001";"(**)";"0.025";"(*)";"-0.257";"0.798";"(ns)";"0.984";"(ns)";"0.789";"0.436";"(ns)";"0.956";"(ns)";"0.131";"0.897";"(ns)";"0.984";"(ns)";"0.246";"0.806";"(ns)";"0.984";"(ns)";"-0.566";"0.575";"(ns)";"0.977";"(ns)";"-0.139";"0.889";"(ns)";"0.984";"(ns)";"Thalamus nuclei";"lateral"
"rh_LD";"Laterodorsal rh";"2.555";"0.012";"(*)";"0.112";"(ns)";"1.732";"0.082";"(ns)";"0.456";"(ns)";"0.476";"0.641";"(ns)";"0.977";"(ns)";"0.368";"0.715";"(ns)";"0.977";"(ns)";"0.555";"0.584";"(ns)";"0.977";"(ns)";"1.084";"0.279";"(ns)";"0.857";"(ns)";"0.172";"0.866";"(ns)";"0.984";"(ns)";"0.482";"0.629";"(ns)";"0.977";"(ns)";"Thalamus nuclei";"lateral"
"lh_LP";"Lateral posterior lh";"2.758";"0.007";"(**)";"0.074";"(ns)";"2.374";"0.018";"(*)";"0.147";"(ns)";"-1.252";"0.217";"(ns)";"0.790";"(ns)";"-0.181";"0.857";"(ns)";"0.984";"(ns)";"0.357";"0.723";"(ns)";"0.977";"(ns)";"-0.495";"0.622";"(ns)";"0.977";"(ns)";"-0.764";"0.450";"(ns)";"0.973";"(ns)";"-0.984";"0.327";"(ns)";"0.858";"(ns)";"Thalamus nuclei";"lateral"
"rh_LP";"Lateral posterior rh";"1.753";"0.081";"(ns)";"0.456";"(ns)";"1.718";"0.082";"(ns)";"0.456";"(ns)";"-1.266";"0.211";"(ns)";"0.780";"(ns)";"-0.034";"0.973";"(ns)";"0.992";"(ns)";"0.371";"0.712";"(ns)";"0.977";"(ns)";"-0.295";"0.769";"(ns)";"0.977";"(ns)";"0.316";"0.755";"(ns)";"0.977";"(ns)";"0.009";"0.993";"(ns)";"0.999";"(ns)";"Thalamus nuclei";"lateral"
"lh_VA";"Ventral anterior lh";"2.909";"0.004";"(**)";"0.049";"(*)";"1.172";"0.240";"(ns)";"0.812";"(ns)";"-0.590";"0.562";"(ns)";"0.977";"(ns)";"-0.185";"0.853";"(ns)";"0.984";"(ns)";"0.036";"0.971";"(ns)";"0.992";"(ns)";"-0.560";"0.577";"(ns)";"0.977";"(ns)";"-0.876";"0.383";"(ns)";"0.914";"(ns)";"-0.266";"0.793";"(ns)";"0.984";"(ns)";"Thalamus nuclei";"ventral"
"rh_VA";"Ventral anterior rh";"2.393";"0.017";"(*)";"0.145";"(ns)";"1.479";"0.148";"(ns)";"0.663";"(ns)";"0.473";"0.638";"(ns)";"0.977";"(ns)";"0.183";"0.855";"(ns)";"0.984";"(ns)";"-0.806";"0.421";"(ns)";"0.947";"(ns)";"-0.628";"0.530";"(ns)";"0.977";"(ns)";"-1.145";"0.254";"(ns)";"0.843";"(ns)";"-0.748";"0.453";"(ns)";"0.973";"(ns)";"Thalamus nuclei";"ventral"
