"labeller";"group_labeller";"t.value";"p.value";"p.adj";"adj.signif";"t.value1";"p.value1";"p.adj1";"adj.signif1";"t.value2";"p.value2";"p.adj2";"adj.signif2";"t.value3";"p.value3";"p.adj3";"adj.signif3";"t.value4";"p.value4";"p.adj4";"adj.signif4";"t.value5";"p.value5";"p.adj5";"adj.signif5";"t.value6";"p.value6";"p.adj6";"adj.signif6";"t.value7";"p.value7";"p.adj7";"adj.signif7"
"Whole Thalamus lh";"Whole_Thalamus lh";"3.844";"0.000";"0.013";"(*)";"2.445";"0.015";"0.171";"(ns)";"-0.756";"0.460";"0.930";"(ns)";"-0.735";"0.464";"0.930";"(ns)";"0.270";"0.787";"0.954";"(ns)";"-0.336";"0.737";"0.954";"(ns)";"-0.242";"0.811";"0.957";"(ns)";"-0.677";"0.499";"0.938";"(ns)"
"Whole Thalamus rh";"Whole_Thalamus rh";"2.827";"0.005";"0.085";"(ns)";"2.454";"0.016";"0.171";"(ns)";"-0.631";"0.537";"0.946";"(ns)";"0.745";"0.457";"0.930";"(ns)";"0.269";"0.788";"0.954";"(ns)";"0.365";"0.716";"0.954";"(ns)";"0.759";"0.451";"0.930";"(ns)";"0.973";"0.330";"0.885";"(ns)"
"Anteroventral lh";"anterior lh";"2.285";"0.026";"0.228";"(ns)";"1.733";"0.081";"0.481";"(ns)";"-0.522";"0.613";"0.954";"(ns)";"0.181";"0.857";"0.972";"(ns)";"-0.786";"0.434";"0.930";"(ns)";"-0.997";"0.324";"0.885";"(ns)";"-1.152";"0.253";"0.885";"(ns)";"0.371";"0.711";"0.954";"(ns)"
"Anteroventral rh";"anterior rh";"1.267";"0.207";"0.885";"(ns)";"0.822";"0.412";"0.930";"(ns)";"0.129";"0.897";"0.972";"(ns)";"0.360";"0.720";"0.954";"(ns)";"-0.396";"0.693";"0.954";"(ns)";"0.259";"0.797";"0.954";"(ns)";"-0.520";"0.605";"0.954";"(ns)";"0.301";"0.762";"0.954";"(ns)"
"Laterodorsal lh";"lateral lh";"2.728";"0.007";"0.098";"(ns)";"3.798";"0.000";"0.014";"(*)";"-0.095";"0.926";"0.983";"(ns)";"1.051";"0.294";"0.885";"(ns)";"0.848";"0.397";"0.930";"(ns)";"0.646";"0.520";"0.940";"(ns)";"0.387";"0.702";"0.954";"(ns)";"0.619";"0.539";"0.946";"(ns)"
"Laterodorsal rh";"lateral rh";"2.659";"0.008";"0.107";"(ns)";"2.007";"0.048";"0.353";"(ns)";"0.943";"0.359";"0.912";"(ns)";"0.533";"0.595";"0.954";"(ns)";"1.097";"0.273";"0.885";"(ns)";"1.276";"0.204";"0.885";"(ns)";"1.094";"0.286";"0.885";"(ns)";"1.065";"0.288";"0.885";"(ns)"
"Lateral posterior lh";"lateral lh";"2.361";"0.020";"0.184";"(ns)";"2.026";"0.043";"0.324";"(ns)";"-1.062";"0.297";"0.885";"(ns)";"-0.428";"0.671";"0.954";"(ns)";"0.289";"0.774";"0.954";"(ns)";"-0.225";"0.823";"0.958";"(ns)";"-0.708";"0.485";"0.931";"(ns)";"-0.927";"0.357";"0.912";"(ns)"
"Lateral posterior rh";"lateral rh";"1.449";"0.149";"0.755";"(ns)";"1.611";"0.104";"0.596";"(ns)";"-1.215";"0.230";"0.885";"(ns)";"-0.321";"0.750";"0.954";"(ns)";"0.082";"0.935";"0.989";"(ns)";"-0.264";"0.792";"0.954";"(ns)";"0.043";"0.966";"0.996";"(ns)";"-0.027";"0.978";"1.000";"(ns)"
"Ventral anterior lh";"ventral lh";"2.797";"0.006";"0.093";"(ns)";"0.845";"0.397";"0.930";"(ns)";"-0.347";"0.736";"0.954";"(ns)";"-0.705";"0.484";"0.931";"(ns)";"-0.446";"0.656";"0.954";"(ns)";"-1.451";"0.150";"0.755";"(ns)";"-1.175";"0.244";"0.885";"(ns)";"-0.308";"0.760";"0.954";"(ns)"
"Ventral anterior rh";"ventral rh";"2.059";"0.041";"0.316";"(ns)";"1.057";"0.295";"0.885";"(ns)";"0.827";"0.418";"0.930";"(ns)";"-0.293";"0.769";"0.954";"(ns)";"-0.975";"0.332";"0.885";"(ns)";"-1.003";"0.317";"0.885";"(ns)";"-1.278";"0.204";"0.885";"(ns)";"-0.418";"0.674";"0.954";"(ns)"
"Ventral anterior magnocellular lh";"ventral lh";"2.908";"0.004";"0.085";"(ns)";"1.826";"0.073";"0.455";"(ns)";"-0.686";"0.506";"0.940";"(ns)";"-0.375";"0.710";"0.954";"(ns)";"0.051";"0.960";"0.992";"(ns)";"-0.608";"0.542";"0.946";"(ns)";"-0.466";"0.646";"0.954";"(ns)";"-0.362";"0.719";"0.954";"(ns)"
"Ventral anterior magnocellular rh";"ventral rh";"2.691";"0.008";"0.103";"(ns)";"1.027";"0.309";"0.885";"(ns)";"1.216";"0.228";"0.885";"(ns)";"-0.523";"0.601";"0.954";"(ns)";"-0.275";"0.784";"0.954";"(ns)";"-0.765";"0.443";"0.930";"(ns)";"-1.053";"0.297";"0.885";"(ns)";"-0.645";"0.516";"0.940";"(ns)"
"Ventral lateral anterior lh";"ventral lh";"2.823";"0.005";"0.085";"(ns)";"0.978";"0.329";"0.885";"(ns)";"-0.863";"0.397";"0.930";"(ns)";"-1.026";"0.309";"0.885";"(ns)";"-0.520";"0.603";"0.954";"(ns)";"-1.107";"0.272";"0.885";"(ns)";"-0.758";"0.454";"0.930";"(ns)";"-0.699";"0.488";"0.931";"(ns)"
"Ventral lateral anterior rh";"ventral rh";"1.725";"0.085";"0.495";"(ns)";"0.968";"0.341";"0.892";"(ns)";"-0.310";"0.759";"0.954";"(ns)";"0.367";"0.714";"0.954";"(ns)";"-0.386";"0.700";"0.954";"(ns)";"-0.051";"0.960";"0.992";"(ns)";"-0.013";"0.990";"1.000";"(ns)";"0.499";"0.618";"0.954";"(ns)"
"Ventral lateral posterior lh";"ventral lh";"2.342";"0.020";"0.184";"(ns)";"1.091";"0.271";"0.885";"(ns)";"-0.953";"0.351";"0.902";"(ns)";"-0.753";"0.453";"0.930";"(ns)";"-0.336";"0.737";"0.954";"(ns)";"-0.787";"0.436";"0.930";"(ns)";"-0.241";"0.811";"0.957";"(ns)";"-0.749";"0.456";"0.930";"(ns)"
"Ventral lateral posterior rh";"ventral rh";"1.180";"0.237";"0.885";"(ns)";"0.881";"0.381";"0.930";"(ns)";"-0.794";"0.435";"0.930";"(ns)";"0.813";"0.418";"0.930";"(ns)";"-0.255";"0.798";"0.954";"(ns)";"0.341";"0.735";"0.954";"(ns)";"0.695";"0.490";"0.931";"(ns)";"1.055";"0.293";"0.885";"(ns)"
"Ventral posterolateral lh";"ventral lh";"2.099";"0.037";"0.291";"(ns)";"0.216";"0.827";"0.958";"(ns)";"-0.936";"0.368";"0.923";"(ns)";"-0.305";"0.760";"0.954";"(ns)";"-0.017";"0.987";"1.000";"(ns)";"-0.447";"0.655";"0.954";"(ns)";"0.313";"0.755";"0.954";"(ns)";"-0.779";"0.436";"0.930";"(ns)"
"Ventral posterolateral rh";"ventral rh";"0.539";"0.590";"0.954";"(ns)";"0.447";"0.653";"0.954";"(ns)";"-0.409";"0.695";"0.954";"(ns)";"0.861";"0.389";"0.930";"(ns)";"-0.336";"0.736";"0.954";"(ns)";"0.329";"0.743";"0.954";"(ns)";"0.897";"0.369";"0.923";"(ns)";"1.103";"0.272";"0.885";"(ns)"
"Central medial lh";"intralaminar lh";"2.358";"0.019";"0.184";"(ns)";"2.565";"0.012";"0.138";"(ns)";"0.001";"0.999";"1.000";"(ns)";"0.255";"0.798";"0.954";"(ns)";"0.039";"0.969";"0.996";"(ns)";"-0.767";"0.442";"0.930";"(ns)";"-0.338";"0.737";"0.954";"(ns)";"-0.327";"0.742";"0.954";"(ns)"
"Central medial rh";"intralaminar rh";"2.698";"0.008";"0.103";"(ns)";"2.193";"0.033";"0.267";"(ns)";"0.481";"0.623";"0.954";"(ns)";"0.053";"0.957";"0.992";"(ns)";"-0.761";"0.446";"0.930";"(ns)";"-1.215";"0.224";"0.885";"(ns)";"-0.657";"0.510";"0.940";"(ns)";"-0.484";"0.625";"0.954";"(ns)"
"Central lateral lh";"intralaminar lh";"1.233";"0.217";"0.885";"(ns)";"1.553";"0.123";"0.667";"(ns)";"0.149";"0.882";"0.972";"(ns)";"-0.448";"0.655";"0.954";"(ns)";"-0.882";"0.379";"0.930";"(ns)";"-0.149";"0.882";"0.972";"(ns)";"-1.611";"0.114";"0.633";"(ns)";"-1.114";"0.266";"0.885";"(ns)"
"Central lateral rh";"intralaminar rh";"0.783";"0.436";"0.930";"(ns)";"-0.113";"0.908";"0.974";"(ns)";"0.239";"0.815";"0.958";"(ns)";"-0.455";"0.652";"0.954";"(ns)";"0.003";"0.998";"1.000";"(ns)";"0.783";"0.434";"0.930";"(ns)";"-0.491";"0.629";"0.954";"(ns)";"0.132";"0.895";"0.972";"(ns)"
"Paracentral lh";"intralaminar lh";"2.931";"0.004";"0.085";"(ns)";"1.205";"0.221";"0.885";"(ns)";"-0.958";"0.342";"0.892";"(ns)";"-0.884";"0.385";"0.930";"(ns)";"-0.797";"0.425";"0.930";"(ns)";"-1.126";"0.264";"0.885";"(ns)";"-0.067";"0.948";"0.992";"(ns)";"-0.426";"0.671";"0.954";"(ns)"
"Paracentral rh";"intralaminar rh";"1.903";"0.058";"0.393";"(ns)";"0.259";"0.794";"0.954";"(ns)";"-0.155";"0.875";"0.972";"(ns)";"0.690";"0.488";"0.931";"(ns)";"0.994";"0.321";"0.885";"(ns)";"0.362";"0.716";"0.954";"(ns)";"0.831";"0.410";"0.930";"(ns)";"0.243";"0.806";"0.957";"(ns)"
"Centromedian lh";"intralaminar lh";"2.156";"0.033";"0.267";"(ns)";"0.713";"0.476";"0.931";"(ns)";"0.170";"0.866";"0.972";"(ns)";"-0.581";"0.562";"0.954";"(ns)";"-0.583";"0.560";"0.954";"(ns)";"-0.530";"0.597";"0.954";"(ns)";"-0.263";"0.795";"0.954";"(ns)";"-1.037";"0.300";"0.885";"(ns)"
"Centromedian rh";"intralaminar rh";"1.090";"0.278";"0.885";"(ns)";"1.601";"0.117";"0.642";"(ns)";"0.742";"0.470";"0.931";"(ns)";"0.176";"0.860";"0.972";"(ns)";"-0.439";"0.660";"0.954";"(ns)";"-0.141";"0.888";"0.972";"(ns)";"0.460";"0.646";"0.954";"(ns)";"0.125";"0.901";"0.972";"(ns)"
"Paratenial lh";"medial lh";"2.239";"0.027";"0.228";"(ns)";"1.610";"0.110";"0.623";"(ns)";"-0.094";"0.926";"0.983";"(ns)";"-0.011";"0.991";"1.000";"(ns)";"-0.129";"0.897";"0.972";"(ns)";"-0.599";"0.549";"0.949";"(ns)";"-0.169";"0.867";"0.972";"(ns)";"-0.981";"0.327";"0.885";"(ns)"
"Paratenial rh";"medial rh";"1.962";"0.050";"0.364";"(ns)";"1.772";"0.077";"0.475";"(ns)";"0.117";"0.907";"0.974";"(ns)";"0.773";"0.439";"0.930";"(ns)";"0.013";"0.989";"1.000";"(ns)";"-0.273";"0.785";"0.954";"(ns)";"1.018";"0.309";"0.885";"(ns)";"0.716";"0.473";"0.931";"(ns)"
"Reuniens (medial ventral) lh";"medial lh";"1.941";"0.053";"0.372";"(ns)";"2.866";"0.005";"0.085";"(ns)";"-0.150";"0.879";"0.972";"(ns)";"-0.525";"0.601";"0.954";"(ns)";"-0.128";"0.898";"0.972";"(ns)";"-1.116";"0.264";"0.885";"(ns)";"-0.502";"0.620";"0.954";"(ns)";"-0.951";"0.345";"0.895";"(ns)"
"Reuniens (medial ventral) rh";"medial rh";"1.846";"0.068";"0.439";"(ns)";"2.630";"0.011";"0.135";"(ns)";"0.729";"0.459";"0.930";"(ns)";"-0.462";"0.643";"0.954";"(ns)";"-0.752";"0.454";"0.930";"(ns)";"-1.805";"0.072";"0.455";"(ns)";"-1.018";"0.309";"0.885";"(ns)";"-0.725";"0.465";"0.930";"(ns)"
"Mediodorsal medial magnocellular lh";"medial lh";"2.563";"0.011";"0.135";"(ns)";"2.840";"0.005";"0.085";"(ns)";"-0.627";"0.526";"0.940";"(ns)";"-1.329";"0.188";"0.885";"(ns)";"-0.097";"0.923";"0.983";"(ns)";"-0.634";"0.526";"0.940";"(ns)";"-0.460";"0.648";"0.954";"(ns)";"-0.968";"0.334";"0.885";"(ns)"
"Mediodorsal medial magnocellular rh";"medial rh";"3.004";"0.003";"0.073";"(ns)";"3.743";"0.000";"0.014";"(*)";"-1.087";"0.275";"0.885";"(ns)";"-0.138";"0.890";"0.972";"(ns)";"0.054";"0.957";"0.992";"(ns)";"-0.375";"0.707";"0.954";"(ns)";"0.100";"0.920";"0.983";"(ns)";"0.219";"0.826";"0.958";"(ns)"
"Mediodorsal lateral parvocellular lh";"medial lh";"2.412";"0.017";"0.177";"(ns)";"1.854";"0.066";"0.432";"(ns)";"-0.989";"0.320";"0.885";"(ns)";"-1.785";"0.080";"0.481";"(ns)";"0.001";"1.000";"1.000";"(ns)";"-0.546";"0.585";"0.954";"(ns)";"-0.594";"0.556";"0.954";"(ns)";"-1.369";"0.175";"0.834";"(ns)"
"Mediodorsal lateral parvocellular rh";"medial rh";"3.493";"0.001";"0.020";"(*)";"4.336";"0.000";"0.011";"(*)";"-1.045";"0.297";"0.885";"(ns)";"-0.660";"0.510";"0.940";"(ns)";"-0.326";"0.745";"0.954";"(ns)";"-0.865";"0.387";"0.930";"(ns)";"-0.313";"0.754";"0.954";"(ns)";"-0.387";"0.697";"0.954";"(ns)"
"Lateral geniculate lh";"posterior lh";"3.279";"0.001";"0.034";"(*)";"3.599";"0.001";"0.018";"(*)";"-0.141";"0.887";"0.972";"(ns)";"-0.447";"0.655";"0.954";"(ns)";"0.246";"0.805";"0.957";"(ns)";"0.660";"0.513";"0.940";"(ns)";"-0.408";"0.682";"0.954";"(ns)";"-0.501";"0.616";"0.954";"(ns)"
"Lateral geniculate rh";"posterior rh";"2.797";"0.005";"0.085";"(ns)";"2.409";"0.017";"0.177";"(ns)";"0.545";"0.577";"0.954";"(ns)";"1.136";"0.262";"0.885";"(ns)";"0.619";"0.537";"0.946";"(ns)";"0.574";"0.570";"0.954";"(ns)";"1.238";"0.216";"0.885";"(ns)";"1.273";"0.202";"0.885";"(ns)"
"Medial Geniculate lh";"posterior lh";"-0.615";"0.542";"0.946";"(ns)";"-0.308";"0.766";"0.954";"(ns)";"1.499";"0.134";"0.714";"(ns)";"0.635";"0.526";"0.940";"(ns)";"-0.362";"0.717";"0.954";"(ns)";"-0.761";"0.448";"0.930";"(ns)";"0.057";"0.955";"0.992";"(ns)";"-0.542";"0.589";"0.954";"(ns)"
"Medial Geniculate rh";"posterior rh";"1.029";"0.312";"0.885";"(ns)";"-0.165";"0.873";"0.972";"(ns)";"1.976";"0.054";"0.372";"(ns)";"0.379";"0.705";"0.954";"(ns)";"0.330";"0.741";"0.954";"(ns)";"-0.678";"0.499";"0.938";"(ns)";"0.406";"0.682";"0.954";"(ns)";"0.005";"0.996";"1.000";"(ns)"
"Limitans (suprageniculate) rh";"posterior rh";"0.019";"0.985";"1.000";"(ns)";"-0.228";"0.819";"0.958";"(ns)";"0.140";"0.887";"0.972";"(ns)";"-0.436";"0.661";"0.954";"(ns)";"-0.996";"0.319";"0.885";"(ns)";"-1.064";"0.287";"0.885";"(ns)";"-0.197";"0.844";"0.970";"(ns)";"-0.169";"0.865";"0.972";"(ns)"
"Pulvinar anterior lh";"posterior lh";"3.752";"0.000";"0.014";"(*)";"2.956";"0.004";"0.085";"(ns)";"-0.847";"0.413";"0.930";"(ns)";"-0.639";"0.521";"0.940";"(ns)";"1.071";"0.285";"0.885";"(ns)";"0.695";"0.489";"0.931";"(ns)";"0.413";"0.680";"0.954";"(ns)";"0.056";"0.955";"0.992";"(ns)"
"Pulvinar anterior rh";"posterior rh";"3.326";"0.001";"0.034";"(*)";"2.437";"0.016";"0.171";"(ns)";"-1.211";"0.232";"0.885";"(ns)";"0.604";"0.545";"0.946";"(ns)";"1.134";"0.258";"0.885";"(ns)";"1.219";"0.226";"0.885";"(ns)";"1.008";"0.313";"0.885";"(ns)";"1.155";"0.248";"0.885";"(ns)"
"Pulvinar medial lh";"posterior lh";"4.029";"0.000";"0.011";"(*)";"3.237";"0.002";"0.045";"(*)";"-0.455";"0.652";"0.954";"(ns)";"0.221";"0.825";"0.958";"(ns)";"1.181";"0.239";"0.885";"(ns)";"0.801";"0.426";"0.930";"(ns)";"0.472";"0.637";"0.954";"(ns)";"0.199";"0.842";"0.970";"(ns)"
"Pulvinar medial rh";"posterior rh";"3.605";"0.000";"0.017";"(*)";"2.342";"0.020";"0.184";"(ns)";"-0.990";"0.330";"0.885";"(ns)";"1.025";"0.307";"0.885";"(ns)";"1.469";"0.144";"0.745";"(ns)";"1.020";"0.309";"0.885";"(ns)";"1.255";"0.212";"0.885";"(ns)";"1.300";"0.196";"0.885";"(ns)"
"Pulvinar lateral lh";"posterior lh";"0.683";"0.491";"0.931";"(ns)";"0.146";"0.884";"0.972";"(ns)";"0.269";"0.789";"0.954";"(ns)";"-0.352";"0.723";"0.954";"(ns)";"1.876";"0.062";"0.414";"(ns)";"1.072";"0.284";"0.885";"(ns)";"0.077";"0.938";"0.990";"(ns)";"-0.128";"0.899";"0.972";"(ns)"
"Pulvinar inferior lh";"posterior lh";"3.913";"0.000";"0.013";"(*)";"4.141";"0.000";"0.011";"(*)";"-0.343";"0.732";"0.954";"(ns)";"0.277";"0.782";"0.954";"(ns)";"1.428";"0.155";"0.769";"(ns)";"0.882";"0.377";"0.930";"(ns)";"0.537";"0.588";"0.954";"(ns)";"0.571";"0.569";"0.954";"(ns)"
"Pulvinar inferior rh";"posterior rh";"2.105";"0.036";"0.289";"(ns)";"2.245";"0.027";"0.228";"(ns)";"-0.473";"0.632";"0.954";"(ns)";"1.381";"0.171";"0.827";"(ns)";"0.499";"0.618";"0.954";"(ns)";"0.274";"0.785";"0.954";"(ns)";"1.413";"0.161";"0.788";"(ns)";"1.500";"0.138";"0.726";"(ns)"
