"labeller";"group_labeller";"t.value";"p.value";"p.adj";"adj.signif";"t.value1";"p.value1";"p.adj1";"adj.signif1";"t.value2";"p.value2";"p.adj2";"adj.signif2";"t.value3";"p.value3";"p.adj3";"adj.signif3";"t.value4";"p.value4";"p.adj4";"adj.signif4";"t.value5";"p.value5";"p.adj5";"adj.signif5";"t.value6";"p.value6";"p.adj6";"adj.signif6";"t.value7";"p.value7";"p.adj7";"adj.signif7"
"Whole Thalamus lh";"Whole_Thalamus lh";"3.849";"0.000";"0.013";"(*)";"2.366";"0.019";"0.177";"(ns)";"-0.717";"0.483";"0.940";"(ns)";"-0.651";"0.516";"0.940";"(ns)";"0.203";"0.839";"0.959";"(ns)";"-0.399";"0.691";"0.940";"(ns)";"-0.278";"0.782";"0.942";"(ns)";"-0.530";"0.597";"0.940";"(ns)"
"Whole Thalamus rh";"Whole_Thalamus rh";"2.809";"0.005";"0.085";"(ns)";"2.479";"0.015";"0.158";"(ns)";"-0.648";"0.526";"0.940";"(ns)";"0.728";"0.467";"0.940";"(ns)";"0.287";"0.774";"0.942";"(ns)";"0.391";"0.697";"0.940";"(ns)";"0.775";"0.441";"0.940";"(ns)";"0.924";"0.355";"0.917";"(ns)"
"Anteroventral lh";"anterior lh";"2.277";"0.026";"0.221";"(ns)";"1.811";"0.068";"0.428";"(ns)";"-0.567";"0.583";"0.940";"(ns)";"0.118";"0.906";"0.968";"(ns)";"-0.712";"0.479";"0.940";"(ns)";"-0.944";"0.350";"0.917";"(ns)";"-1.123";"0.265";"0.908";"(ns)";"0.216";"0.829";"0.959";"(ns)"
"Anteroventral rh";"anterior rh";"1.273";"0.205";"0.908";"(ns)";"0.880";"0.379";"0.917";"(ns)";"0.084";"0.932";"0.970";"(ns)";"0.296";"0.768";"0.942";"(ns)";"-0.329";"0.742";"0.940";"(ns)";"0.334";"0.739";"0.940";"(ns)";"-0.484";"0.630";"0.940";"(ns)";"0.161";"0.871";"0.968";"(ns)"
"Laterodorsal lh";"lateral lh";"2.671";"0.008";"0.108";"(ns)";"3.885";"0.000";"0.013";"(*)";"-0.137";"0.894";"0.968";"(ns)";"0.976";"0.330";"0.915";"(ns)";"0.906";"0.365";"0.917";"(ns)";"0.729";"0.468";"0.940";"(ns)";"0.424";"0.675";"0.940";"(ns)";"0.465";"0.644";"0.940";"(ns)"
"Laterodorsal rh";"lateral rh";"2.687";"0.008";"0.108";"(ns)";"1.956";"0.054";"0.374";"(ns)";"0.954";"0.354";"0.917";"(ns)";"0.554";"0.580";"0.940";"(ns)";"1.067";"0.286";"0.912";"(ns)";"1.241";"0.216";"0.908";"(ns)";"1.080";"0.292";"0.912";"(ns)";"1.103";"0.272";"0.908";"(ns)"
"Lateral posterior lh";"lateral lh";"2.374";"0.019";"0.177";"(ns)";"2.105";"0.036";"0.280";"(ns)";"-1.113";"0.274";"0.908";"(ns)";"-0.514";"0.609";"0.940";"(ns)";"0.379";"0.706";"0.940";"(ns)";"-0.137";"0.892";"0.968";"(ns)";"-0.660";"0.515";"0.940";"(ns)";"-1.103";"0.273";"0.908";"(ns)"
"Lateral posterior rh";"lateral rh";"1.431";"0.155";"0.773";"(ns)";"1.687";"0.089";"0.507";"(ns)";"-1.259";"0.214";"0.908";"(ns)";"-0.409";"0.685";"0.940";"(ns)";"0.185";"0.853";"0.966";"(ns)";"-0.166";"0.869";"0.968";"(ns)";"0.095";"0.925";"0.970";"(ns)";"-0.214";"0.830";"0.959";"(ns)"
"Ventral anterior lh";"ventral lh";"2.892";"0.005";"0.082";"(ns)";"0.899";"0.367";"0.917";"(ns)";"-0.380";"0.712";"0.940";"(ns)";"-0.782";"0.438";"0.940";"(ns)";"-0.392";"0.695";"0.940";"(ns)";"-1.389";"0.168";"0.828";"(ns)";"-1.154";"0.252";"0.908";"(ns)";"-0.430";"0.669";"0.940";"(ns)"
"Ventral anterior rh";"ventral rh";"2.060";"0.041";"0.301";"(ns)";"1.154";"0.253";"0.908";"(ns)";"0.754";"0.461";"0.940";"(ns)";"-0.383";"0.702";"0.940";"(ns)";"-0.842";"0.402";"0.935";"(ns)";"-0.892";"0.373";"0.917";"(ns)";"-1.252";"0.213";"0.908";"(ns)";"-0.610";"0.540";"0.940";"(ns)"
